Simulation,Precision,Recall,F1 Score,Tool
Gut_Full_Halfnormal,0.007250967969024991,0.3377049180327869,0.01419710544452102,VirBrant_Proteins
Gut_Full_Uniform,0.006353467561521253,0.3287037037037037,0.012465981915547361,VirBrant_Proteins
Soil_Full_Halfnormal,0.008442823599940051,0.32815533980582523,0.016462107929086305,VirBrant_Proteins
Gut_Full_Zero,0.010623457452516364,0.339041095890411,0.020601394235771512,VirBrant_Proteins
Gut_Low_Lognormal,0.0,0.0,0.0,VirBrant_Proteins
Soil_Low_Uniform,0.0,0.0,0.0,VirBrant_Proteins
Soil_Medium_Halfnormal,0.0030581039755351682,0.25925925925925924,0.006044905008635578,VirBrant_Proteins
Gut_Medium_Lognormal,0.004847447961220416,0.32075471698113206,0.009550561797752807,VirBrant_Proteins
Soil_Full_Lognormal,0.010494016569499847,0.3313953488372093,0.02034382249717447,VirBrant_Proteins
Soil_Low_Halfnormal,0.0,0.0,0.0,VirBrant_Proteins
Gut_Medium_Exponential,0.011575031004547334,0.4444444444444444,0.022562449637389206,VirBrant_Proteins
Soil_Full_Uniform,0.009113411341134114,0.3319672131147541,0.017739816031537452,VirBrant_Proteins
Soil_Medium_Zero,0.006105538595726123,0.5384615384615384,0.012074169900819318,VirBrant_Proteins
Soil_Low_Exponential,0.0,0.0,0.0,VirBrant_Proteins
Soil_Medium_Exponential,0.010341261633919338,0.39215686274509803,0.020151133501259445,VirBrant_Proteins
Soil_Medium_Uniform,0.012,0.23076923076923078,0.022813688212927757,VirBrant_Proteins
Gut_Low_Exponential,0.0,0.0,0.0,VirBrant_Proteins
Gut_Full_Exponential,0.007124289977856937,0.3333333333333333,0.013950419455179566,VirBrant_Proteins
Soil_Full_Zero,0.009843659525188187,0.2797074954296161,0.01901802361715351,VirBrant_Proteins
Gut_Low_Lognormal,0.0,0.0,0.0,VirBrant
Soil_Full_Halfnormal,0.020578231292517006,0.23495145631067962,0.03784206411258796,VirBrant
Gut_Full_Zero,0.02480916030534351,0.2226027397260274,0.04464285714285714,VirBrant
Gut_Full_Uniform,0.019815059445178335,0.2777777777777778,0.03699136868064118,VirBrant
Gut_Full_Halfnormal,0.020805899394258625,0.25901639344262295,0.03851779619697708,VirBrant
Gut_Low_Uniform,0.0,0.0,0.0,VirBrant
Gut_Medium_Uniform,0.11428571428571428,0.12903225806451613,0.12121212121212123,VirBrant
Soil_Full_Exponential,0.024732229795520935,0.23649906890130354,0.04478138222849083,VirBrant
Soil_Low_Zero,0.0,0.0,0.0,VirBrant
Gut_Low_Zero,0.0,0.0,0.0,VirBrant
Soil_Low_Lognormal,0.0,0.0,0.0,VirBrant
Soil_Medium_Lognormal,0.0196078431372549,0.3114754098360656,0.036893203883495145,VirBrant
Gut_Medium_Zero,0.0345679012345679,0.4,0.06363636363636363,VirBrant
Gut_Medium_Halfnormal,0.018475750577367205,0.14285714285714285,0.032719836400818,VirBrant
Gut_Full_Lognormal,0.021436227224008574,0.2768166089965398,0.03979109674210395,VirBrant
Gut_Low_Halfnormal,0.0,0.0,0.0,VirBrant
Gut_Full_Exponential,0.022954461310625694,0.27927927927927926,0.04242216900444749,VirBrant
Soil_Full_Zero,0.024129208017123954,0.226691042047532,0.043615898698557864,VirBrant
Soil_Medium_Exponential,0.023529411764705882,0.35294117647058826,0.04411764705882353,VirBrant
Gut_Low_Exponential,0.0,0.0,0.0,VirBrant
Soil_Medium_Uniform,0.04081632653061224,0.15384615384615385,0.06451612903225806,VirBrant
Soil_Low_Exponential,0.0,0.0,0.0,VirBrant
